"Field.Number","National.Database.Number","Affiliation","Common.Name","Observation.Date","State","County","City...from.strandings.table","Locality.Detail","Latitude","mean_lat","Lat_error","Longitude","mean_long","Long_error"
"HSU-RNSP-200908175","SW-2009-1106927","Humboldt State University, Vertebrate Museum","Sea lion, California","2009-AUG-17","CA","Del Norte","Crescent City","CRESCENT BEACH",-124.1454451,41.4859173232776,165.631362423278,-41.712895,-124.138200714381,-82.4253057143813
"SWC-ZC-12-15B-R2","SW-2012-1142770","SeaWorld of California","Sea lion, California","2012-MAY-03","CA","San Diego","LA JOLLA","LA JOLLA SHORES MAIN LIFEGUARD TOWER. NEAR LA JOLLA SHORES ROAD AND CAMINO DEL ORO",-117.256361,32.8061558059814,150.062516805981,-32.856788,-117.233907868453,-84.3771198684533
"SWC-ZC-13-168B","SW-2013-1151415","SeaWorld of California","Sea lion, California","2013-MAR-20","CA","San Diego","UNKNOWN","UNKNOWN",0,32.8061558059814,32.8061558059814,0,-117.233907868453,-117.233907868453
"SWC-ZC-13-169B","SW-2013-1151417","SeaWorld of California","Sea lion, California","2013-MAR-20","CA","San Diego","UNKNOWN","UNKNOWN",0,32.8061558059814,32.8061558059814,0,-117.233907868453,-117.233907868453
"SWC-ZC-13-243B","SW-2013-1151648","SeaWorld of California","Sea lion, California","2013-MAR-27","CA","San Diego","UNKNOWN","UNKNOWN",0,32.8061558059814,32.8061558059814,0,-117.233907868453,-117.233907868453
"CWC-JLH-13-0422D","SW-2013-1149046","California Wildlife Center","Sea lion, California","2013-APR-04","CA","Los Angeles","Malibu","La Costa Beach",3.037524,33.9463884433333,30.9088644433333,-118.641427,-118.555894658204,0.0855323417960818
"PMMC-Z-07-04-15-029","SW-2007-1066075","Pacific Marine Mammal Center","Sea lion, California","2007-APR-15","CA","Orange","LAGUNA BEACH","THREE ARCH BAY",3.28,33.4288729554098,30.1488729554098,-117.4303,-117.695306882181,-0.265006882181041
"PMMC-Z-12-04-04-021","SW-2012-1141454","Pacific Marine Mammal Center","Sea lion, California","2012-APR-04","CA","Orange","NEWPORT BEACH","PELICAN POINT",3.3344,33.4288729554098,30.0944729554098,-117.4854,-117.695306882181,-0.209906882181045
"TMMC-CSL-10494","SW-2013-1148623","The Marine Mammal Center","Sea lion, California","2013-JAN-08","CA","Monterey","Pebble Beach","Fanshell Beach (17 Mile Drive)(Monterey Bay National Marine Sanctuary) near seal rock",3.587,36.6521344782035,33.0651344782035,-121.968,-121.836668470617,0.131331529383402
"NMMC-DW-10-89","SW-2010-1120739","Northcoast Marine Mammal Center","Sea lion, California","2010-AUG-10","CA","Del Norte","CRESCENT CITY","SOUTH BEACH",14.44,41.4859173232776,27.0459173232776,-124.1,-124.138200714381,-0.0382007143812757
"NONE-ASSIGNED","SW-2009-1100493","O.C. VACUUM INC.","Sea lion, California","2009-JUN-23","CA","Los Angeles","SAN PEDRO","0FF BERTH 161",18.268,33.9463884433333,15.6783884433333,-33.7614,-118.555894658204,-84.7944946582039
"PMMC-Z-07-05-11-100","SW-2007-1067105","Pacific Marine Mammal Center","Sea lion, California","2007-MAY-11","CA","Orange","NEWPORT BEACH","NEWPORT HARBOR ON A DOCK",22.364,33.4288729554098,11.0648729554098,-117.5501,-117.695306882181,-0.145206882181043
"FMMMCC-07-047-R1","SW-2007-1082265","Channel Islands Marine and Wildlife Institute","Seal, northern elephant","2007-JUL-13","CA","Ventura","PORT HUENEME","PORT HUENEME BEACH APPROXIMATELY 20 FEET WEST OF PIER",24.08476,34.1860281307087,10.1012681307087,-119.11662,-119.214604851601,-0.0979848516010549
"SBMMC-14-280","SW-2014-1171376","Santa Barbara Marine Mammal Center","Sea lion, California","2014-JUN-17","CA","Santa Barbara","SANTA BARBARA","SANDBAR",24.4077,34.3506933583508,9.94299335835075,-119.6873,-119.641280476655,0.0460195233449383
"SBMMC-14-285","SW-2014-1171430","Santa Barbara Marine Mammal Center","Sea lion, California","2014-JUN-28","CA","Santa Barbara","SANTA BARBARA","STEARNS WHARF",24.4113,34.3506933583508,9.93939335835075,-119.6878,-119.641280476655,0.0465195233449407
"MLML-MM-1477","SW-2007-1067991","Moss Landing Marine Laboratories","Seal, harbor","2007-JUN-05","CA","Monterey","PACIFIC GROVE","HOPKINS MARINE STATE RESERVE (NEAR 185 OCEAN VIEW BOULEVARD)",26.3714,36.6521344782035,10.2807344782035,-121.5423,-121.836668470617,-0.294368470616604
"SWC-ZC-07-181B","SW-2007-1073199","SeaWorld of California","Sea lion, California","2007-DEC-20","CA","San Diego","SOLANA BEACH","DOG BEACH NORTH OF LAGOON",29.38704,32.8061558059814,3.41911580598138,-148.54362,-117.233907868453,31.3097121315467
"CAS-Zc-10Aug09-KGS","SW-2009-1108233","California Academy of Sciences","Sea lion, California","2009-AUG-01","CA","Sonoma","BODEGA BAY","HARBOR ENTRANCE, ROCK JETTY",30.18357,38.3566856644422,8.17311566444219,-123.03204,-123.089955217647,-0.0579152176470643
"HCB-10-06","SW-2010-1123745","Huntington City Beach Marine Safety","Sea lion, California","2010-MAR-09","CA","Orange","HUNTINGTON BEACH","HUNTING BEACH 1/4 MILE SOUTH OF SEAPORT STREET",30.40752,33.4288729554098,3.02135295540984,-118.0192,-117.695306882181,0.323893117818955
"SWC-ZC-16-173B","SW-2016-1182874","SeaWorld of California","Sea lion, California","2016-MAR-04","CA","San Diego","SAN DIEGO","POINT LOMA. ANIMAL FOUND IN MAIN ENTRANCE TO APARTMENT BUILDING AT 4848 BERMUDA AVENUE. CROSSSTREET OF SUNSET CLIFFS AVENUE",30.4416,32.8061558059814,2.36455580598138,-117.1517,-117.233907868453,-0.0822078684533238
"FMMMCC-06-256","SW-2006-1063179","Fort MacArthur Marine Mammal Care Center","Sea lion, California","2006-NOV-13","CA","Los Angeles","REDONDO BEACH","AMESWORTH TOWER",30.838056,33.9463884433333,3.10833244333333,-118.39083,-118.555894658204,-0.165064658203917
"LMLER2012MAY03","SW-2012-1145414","Long Marine Laboratory","Whale, gray","2012-MAY-03","CA","Santa Cruz","WATSONVILLE","MONTEREY BAY ACADEMY",30.9089,36.9500520030922,6.04115200309216,-121.8474,-121.962930766365,-0.115530766365211
