"National.Database.Number","Genus","Common.Name","Affiliation","City...from.strandings.table","County","State","Locality.Detail","Latitude","Latitude.Units","Longitude","Longitude.Units","Year.of.Observation","Observation.Date","Mammal.Type"
"NW-2005-1051743",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Newport","Lincoln","OR","Moolack Beach",NA,NA,NA,NA,2005,"2005-APR-10","Pinniped"
"NW-2005-1051733",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Yachats","Lincoln","OR",NA,NA,NA,NA,NA,2005,"2005-APR-10","Pinniped"
"NW-2005-1056419",NA,"Pinniped, unidentified","Oregon Parks and Recreation","Port Orford","Curry","OR","1/2 mile north of Humbug Mountain State Park","42.7272","decimal degrees","124.4685","decimal degrees",2005,"2005-APR-26","Pinniped"
"NW-2005-1052295",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Seal Rock","Lincoln","OR",NA,NA,NA,NA,NA,2005,"2005-AUG-10","Pinniped"
"NW-2005-1052311",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Arch Cape","Clatsop","OR",NA,NA,NA,NA,NA,2005,"2005-AUG-30","Pinniped"
"NW-2005-1052313",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Florence","Coos","OR","between Driftwood Shores and N jetty",NA,NA,NA,NA,2005,"2005-AUG-31","Pinniped"
"NW-2005-1042281",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Waldport","Lincoln","OR","N. side Alsea Bay, by old Salmon Cannery",NA,NA,NA,NA,2005,"2005-FEB-06","Pinniped"
"NW-2005-1042287",NA,"Pinniped, unidentified","Oregon Department of Parks and Recreation","Cannon Beach","Clatsop","OR","200 yrds south of Cannon Beach",NA,NA,NA,NA,2005,"2005-JAN-24","Pinniped"
"NW-2005-1051787",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Newport","Lincoln","OR","Yaquina Head Lighthouse",NA,NA,NA,NA,2005,"2005-JUL-01","Pinniped"
"NW-2005-1051755",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Lincoln City","Lincoln","OR","Siletz Bay",NA,NA,NA,NA,2005,"2005-JUN-05","Pinniped"
"NW-2005-1051757",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Newport","Lincoln","OR","Moolack Beach",NA,NA,NA,NA,2005,"2005-JUN-08","Pinniped"
"NW-2005-1051763",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Florence-Yachats","Lane","OR","Neptune SP",NA,NA,NA,NA,2005,"2005-JUN-12","Pinniped"
"NW-2005-1051775",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Gold Beach","Curry","OR","South Beach Park",NA,NA,NA,NA,2005,"2005-JUN-19","Pinniped"
"NW-2005-1051781",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Arch Cape","Clatsop","OR",NA,NA,NA,NA,NA,2005,"2005-JUN-23","Pinniped"
"NW-2005-1051785",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Florence","Lane","OR","Driftwood Resort",NA,NA,NA,NA,2005,"2005-JUN-28","Pinniped"
"NW-2005-1051783",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Seaside","Clatsop","OR","Del Ray Beach access",NA,NA,NA,NA,2005,"2005-JUN-28","Pinniped"
"NW-2005-1044175",NA,"Pinniped, unidentified","citizen caller","Yachats","Lincoln","OR",NA,NA,NA,NA,NA,2005,"2005-MAR-07","Pinniped"
"NW-2005-1044187",NA,"Pinniped, unidentified","citizen caller","Yachats","Lincoln","OR",NA,NA,NA,NA,NA,2005,"2005-MAR-30","Pinniped"
"NW-2005-1044185",NA,"Pinniped, unidentified","citizen caller","Florence","Lane","OR",NA,NA,NA,NA,NA,2005,"2005-MAR-30","Pinniped"
"NW-2005-1051747",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","unknown","Lincoln","OR","unknown",NA,NA,NA,NA,2005,"2005-MAY-26","Pinniped"
"NW-2005-1051749",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Seal Rock","Lincoln","OR",NA,NA,NA,NA,NA,2005,"2005-MAY-28","Pinniped"
"NW-2005-1052317",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Florence","Lane","OR","1 mile from N jetty",NA,NA,NA,NA,2005,"2005-SEP-02","Pinniped"
"NW-2005-1052327",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Florence","Lane","OR","Siuslaw Marina",NA,NA,NA,NA,2005,"2005-SEP-16","Pinniped"
"NW-2005-1052329",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Lincoln City","Lincoln","OR","SW 66th St",NA,NA,NA,NA,2005,"2005-SEP-17","Pinniped"
"NW-2005-1049897",NA,"Pinniped, unidentified","citizen caller","Port Orchard","Kitsap","WA","in marina",NA,NA,NA,NA,2005,"2005-SEP-24","Pinniped"
"NW-2005-1052331",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Cannon Beach","Clatsop","OR","Arch Cape",NA,"deg/min/sec",NA,"deg/min/sec",2005,"2005-SEP-24","Pinniped"
"NW-1989-1026624","Zalophus","Sea lion, California",NA,"Camano Island","Island","WA",NA,NA,NA,NA,NA,1989,"1989-APR-13","Pinniped"
"NW-1989-1026628","Zalophus","Sea lion, California",NA,"Everett","Snohomish","WA","Port Gardner",NA,NA,NA,NA,1989,"1989-APR-17","Pinniped"
