Center,lat,long,Size,Label
OSU MMI,44.623,-124.042,2,O
Portland State University,45.784,-123.8918,3,N
WA DFW,46.9612,-123.657,3,M
Cascadia Research,47.0447,-122.9068,3,L
MaST Center,47.41,-122.348,1,K
Seal Sitters,47.58,-122.39,2,J
Sno-King Marine Mammal Response,48.0305,-122.239,1,I
Feiro Marine Life Center,48.12,-123.428,2,H
National Marine Sanctuary,48.128,-124.701,3,G
Port Townsend Marine Science Center,48.135,-122.7617,1,F
Central Puget Sound MMSN,48.322704,-122.404,1,E
Makah Tribe,48.3926,-124.701,1,D
San Juan County MMSN,48.6045,-122.9649,3,C
Whatcom MMSN,48.815,-122.702,1,B
Whale Museum,48.5369,-123.018,2,A
