National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Other Human Interaction,Other Human Int Description,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,2007 Whole Carcass,2007 Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2004-1031844,HMSC04-C7,04NWR07029,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,HMSC Stranding Audix,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Arch Cape,Clatsop,OR,Pacific Ocean,Hug Point SP,,,,,,,,,N,N,N,N,N,,,,,,2004-JUL-11,2004,JUL,11,Beach or Land,,Alive,N,2004-JUL-11,2004,JUL,11,Alive,N,MALE,PUP/CALF,,,31,in,actual,19,lb,actual,Y,,,2004-JUL-14,2004,JUL,14,"Brown, S.",,
NW-2011-1140069,CRC-1153,11NWR05052,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Bethany A Diehl,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,1191 Ocean Shores Blvd SW,46.9413,dd.dddd,,–124.1748,dd.dddd,,Internet/Software,N,N,N,N,N,N,,Y,Y,Y,,2011-MAY-16,2011,MAY,16,Beach or Land,,Fresh Dead,N,2011-MAY-16,2011,MAY,16,Fresh Dead,N,FEMALE,ADULT,Y,N,171,cm,Actual,55.5,kg,,Y,Complete,Fresh,2011-MAY-17,2011,MAY,17,WDFW/MMI,"Picked up off beach by Ranger Jason Thom, held overnight for BAD and Alex to pick up.",CRC-1153
NW-2011-1140070,CRC-1154,11NWR06070,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Westport,Grays Harbor,WA,Pacific Ocean,800ft S of Lila Rd Beach Access,46.867,dd.dddd,,–124.117,dd.dddd,,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2011-JUN-06,2011,JUN,6,Beach or Land,,Mummified/Skeletal,N,2011-JUN-06,2011,JUN,6,Mummified/Skeletal,N,UNKNOWN,ADULT,Y,N,5,ft,Estimated,0,,,N,,,,,,,,Marc took photos and sent to JLH. External exam only via photos.,CRC-1154
NW-2011-1140071,CRC-1155,11NWR05053,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Bethany A Diehl,Cascadia Research,Cascadia Research,NW,Ocean City,Grays Harbor,WA,Pacific Ocean,Ocean City,47.1173,dd.dddd,,–124.2941,dd.dddd,,Internet/Software,N,N,N,N,N,N,,Y,Y,Y,,2011-MAY-21,2011,MAY,21,Beach or Land,,Fresh Dead,N,2011-MAY-21,2011,MAY,21,Fresh Dead,N,MALE,ADULT,Y,N,144,cm,Actual,34,kg,Actual,Y,Complete,Fresh,2011-MAY-23,2011,MAY,23,CRC/WDFW,Picked up by Ranger Thom when found; held overnight until Bethany and Josh picked up on 22 May. Iced and held for necropsy.,CRC-1155
NW-2011-1140072,CRC-1171,11NWR08076,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Alie Perez,Cascadia Research,Cascadia Research,NW,Ocean City,Grays Harbor,WA,Pacific Ocean,Ocean City State park,47.0305,dd.dddd,,–124.1723,dd.dddd,,Internet/Software,N,N,N,N,N,N,,Y,Y,Y,,2011-AUG-08,2011,AUG,8,Beach or Land,,Fresh Dead,N,2011-AUG-08,2011,AUG,8,Fresh Dead,N,MALE,PUP/CALF,Y,N,87,cm,Actual,8,kg,Actual,Y,Complete,Fresh,2011-AUG-10,2011,AUG,10,CRC,"picked up off beach by Jason, held overnight for Alie to collect following day",CRC--1171
NW-2011-1140073,CRC-1174,11NWR08077,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Alie Perez,Cascadia Research,Cascadia Research,NW,Moclips,Grays Harbor,WA,Pacific Ocean,4852 Pacific Avenue,47.2398,dd.dddd,,–124.2178,dd.dddd,,Internet/Software,N,N,N,N,N,N,,Y,Y,Y,,2011-AUG-15,2011,AUG,15,Beach or Land,,Fresh Dead,N,2011-AUG-16,2011,AUG,16,Fresh Dead,N,MALE,PUP/CALF,Y,N,85,cm,Actual,9,kg,Actual,Y,Complete,Fresh,2011-AUG-16,2011,AUG,16,CRC,RP removed from beach and put in bag for Alie to pick up on following morning,CRC-1174
NW-2012-1142255,WDFW2012-017,12NWR02021,Confirmed- Minimum,"Cetacean, unidentified",,,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Tacoma,Pierce,WA,Puget Sound,Point Defiance,47.3155,dd.dddd,,–122.5331,dd.dddd,,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2012-FEB-04,2012,FEB,4,,,Mummified/Skeletal,N,,,,,Mummified/Skeletal,N,,,N,N,,,,,,,N,,,,,,,,"Found by fisher, and report came Via WDFW fish checker From description sound like small porpoise Spine",WDFW2012-017
NW-2011-1142272,WDFW2011-069,11NWR07121,Confirmed- High Report,"Cetacean, unidentified",,,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,Just north of the south side of the no drive area,46.9953,dd.dddd,,–124.1743,dd.dddd,,Internet/Software,N,CBD,N,N,N,N,,Y,Y,Y,,2011-JUL-01,2011,JUL,1,Beach or Land,,Moderate Decomposition,N,2011-JUL-01,2011,JUL,1,Moderate Decomposition,N,UNKNOWN,SUBADULT,N,Y,98,cm,Estimated,,,,Y,Limited,Fresh,2011-JUL-01,2011,JUL,1,WDFW/MMI,"Mostly just vetabrae, animal track at site and remains of of carcass had dragged about 25 yards up the beach towards sand dunes, bird and dog tracks, head and thoracic area missing, no blubber. Suspect Harbor porpoise took genetics to confirm.",WDFW2011-069
NW-2011-1142298,WDFW2011-090,11NWR07141,Confirmed- High Report,"Whale, gray",Eschrichtius,robustus,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Bremerton,Kitsap,WA,Puget Sound,4499 Eriand Pt. Rd.,47.6094,dd.dddd,,–122.6923,dd.dddd,,GPS,N,Y,N,N,N,Y,,Y,Y,Y,,2011-JUL-27,2011,JUL,27,Beach or Land,,Alive,N,2011-JUL-27,2011,JUL,27,Fresh Dead,N,MALE,SUBADULT,Y,N,1000,cm,Actual,15000,lb,Estimated,Y,Complete,Fresh,2011-JUL-28,2011,JUL,28,WDFW/MMI & CRC,"Whale intitally stranded Live. Died shortlyRP noticed at 7:15 AM, eyes moving, tail lobbing. At 7:50 AM passed away. There was report of a live whale swimming in Dyes Inlet the day prior to the stranding.",WDFW2011-090
NW-2011-1142059,2011-MAST-003,11NWR05058,Confirmed- High Report,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Des Moines,King,WA,Puget Sound,Whaler's condos: 22989 marine drive South,47.3953,dd.dddd,,–122.3268,dd.dddd,,Internet/Software,N,CBD,N,N,N,N,,Y,Y,Y,,2011-MAY-17,2011,MAY,17,Beach or Land,,Fresh Dead,N,2011-MAY-18,2011,MAY,18,Fresh Dead,N,MALE,ADULT,N,N,203,cm,Actual,450,lb,Estimated,Y,,Fresh,2011-MAY-18,2011,MAY,18,"WDFW/MMI, CRC",Originally secured evening of 17 May by MaST volunteer.,
