Date,CPS_lands
1981-01-01T00:00:00Z,141
1982-01-01T00:00:00Z,128
1983-01-01T00:00:00Z,70
1984-01-01T00:00:00Z,64
1985-01-01T00:00:00Z,69
1986-01-01T00:00:00Z,85
1987-01-01T00:00:00Z,91
1988-01-01T00:00:00Z,109
1989-01-01T00:00:00Z,114
1990-01-01T00:00:00Z,89
1991-01-01T00:00:00Z,92
1992-01-01T00:00:00Z,63
1993-01-01T00:00:00Z,80
1994-01-01T00:00:00Z,86
1995-01-01T00:00:00Z,129
1996-01-01T00:00:00Z,137
1997-01-01T00:00:00Z,152
1998-01-01T00:00:00Z,76
1999-01-01T00:00:00Z,172
2000-01-01T00:00:00Z,226
2001-01-01T00:00:00Z,196
2002-01-01T00:00:00Z,183
2003-01-01T00:00:00Z,126
2004-01-01T00:00:00Z,144
2005-01-01T00:00:00Z,158
2006-01-01T00:00:00Z,160
2007-01-01T00:00:00Z,195
2008-01-01T00:00:00Z,146
2009-01-01T00:00:00Z,172
2010-01-01T00:00:00Z,202
2011-01-01T00:00:00Z,174
2012-01-01T00:00:00Z,210
2013-01-01T00:00:00Z,187
2014-01-01T00:00:00Z,149
