Date,MEI
1950-01-01T00:00:00Z,-1.062
1950-02-01T00:00:00Z,-1.162
1950-03-01T00:00:00Z,-1.312
1950-04-01T00:00:00Z,-1.104
1950-05-01T00:00:00Z,-1.433
1950-06-01T00:00:00Z,-1.391
1950-07-01T00:00:00Z,-1.296
1950-08-01T00:00:00Z,-1.053
1950-09-01T00:00:00Z,-0.634
1950-10-01T00:00:00Z,-0.433
1950-11-01T00:00:00Z,-1.165
1950-12-01T00:00:00Z,-1.261
1951-01-01T00:00:00Z,-1.07
1951-02-01T00:00:00Z,-1.189
1951-03-01T00:00:00Z,-1.222
1951-04-01T00:00:00Z,-0.523
1951-05-01T00:00:00Z,-0.36
1951-06-01T00:00:00Z,0.349
1951-07-01T00:00:00Z,0.666
1951-08-01T00:00:00Z,0.829
1951-09-01T00:00:00Z,0.743
1951-10-01T00:00:00Z,0.736
1951-11-01T00:00:00Z,0.703
1951-12-01T00:00:00Z,0.478
1952-01-01T00:00:00Z,0.419
1952-02-01T00:00:00Z,0.136
1952-03-01T00:00:00Z,0.063
1952-04-01T00:00:00Z,0.22
1952-05-01T00:00:00Z,-0.309
1952-06-01T00:00:00Z,-0.723
1952-07-01T00:00:00Z,-0.316
1952-08-01T00:00:00Z,-0.378
1952-09-01T00:00:00Z,0.313
1952-10-01T00:00:00Z,0.275
1952-11-01T00:00:00Z,-0.349
1952-12-01T00:00:00Z,-0.124
1953-01-01T00:00:00Z,0.03
1953-02-01T00:00:00Z,0.385
1953-03-01T00:00:00Z,0.256
1953-04-01T00:00:00Z,0.682
1953-05-01T00:00:00Z,0.784
1953-06-01T00:00:00Z,0.218
1953-07-01T00:00:00Z,0.368
1953-08-01T00:00:00Z,0.213
1953-09-01T00:00:00Z,0.501
1953-10-01T00:00:00Z,0.093
1953-11-01T00:00:00Z,0.075
1953-12-01T00:00:00Z,0.324
1954-01-01T00:00:00Z,-0.051
1954-02-01T00:00:00Z,-0.032
1954-03-01T00:00:00Z,0.162
1954-04-01T00:00:00Z,-0.567
1954-05-01T00:00:00Z,-1.416
1954-06-01T00:00:00Z,-1.564
1954-07-01T00:00:00Z,-1.378
1954-08-01T00:00:00Z,-1.471
1954-09-01T00:00:00Z,-1.166
1954-10-01T00:00:00Z,-1.348
1954-11-01T00:00:00Z,-1.14
1954-12-01T00:00:00Z,-1.113
1955-01-01T00:00:00Z,-0.762
1955-02-01T00:00:00Z,-0.698
1955-03-01T00:00:00Z,-1.152
1955-04-01T00:00:00Z,-1.634
1955-05-01T00:00:00Z,-1.642
1955-06-01T00:00:00Z,-2.243
1955-07-01T00:00:00Z,-1.998
1955-08-01T00:00:00Z,-2.073
1955-09-01T00:00:00Z,-1.823
1955-10-01T00:00:00Z,-1.753
1955-11-01T00:00:00Z,-1.841
1955-12-01T00:00:00Z,-1.877
1956-01-01T00:00:00Z,-1.437
1956-02-01T00:00:00Z,-1.323
1956-03-01T00:00:00Z,-1.413
1956-04-01T00:00:00Z,-1.132
1956-05-01T00:00:00Z,-1.317
1956-06-01T00:00:00Z,-1.502
1956-07-01T00:00:00Z,-1.259
1956-08-01T00:00:00Z,-1.131
1956-09-01T00:00:00Z,-1.359
1956-10-01T00:00:00Z,-1.486
1956-11-01T00:00:00Z,-1.038
1956-12-01T00:00:00Z,-1.022
1957-01-01T00:00:00Z,-0.941
1957-02-01T00:00:00Z,-0.364
1957-03-01T00:00:00Z,0.134
1957-04-01T00:00:00Z,0.353
1957-05-01T00:00:00Z,0.866
1957-06-01T00:00:00Z,0.769
1957-07-01T00:00:00Z,0.908
1957-08-01T00:00:00Z,1.148
1957-09-01T00:00:00Z,1.125
1957-10-01T00:00:00Z,1.083
1957-11-01T00:00:00Z,1.148
1957-12-01T00:00:00Z,1.248
1958-01-01T00:00:00Z,1.472
1958-02-01T00:00:00Z,1.442
1958-03-01T00:00:00Z,1.32
1958-04-01T00:00:00Z,1.013
1958-05-01T00:00:00Z,0.719
1958-06-01T00:00:00Z,0.864
1958-07-01T00:00:00Z,0.693
1958-08-01T00:00:00Z,0.427
1958-09-01T00:00:00Z,0.188
1958-10-01T00:00:00Z,0.213
1958-11-01T00:00:00Z,0.486
1958-12-01T00:00:00Z,0.671
1959-01-01T00:00:00Z,0.548
1959-02-01T00:00:00Z,0.788
1959-03-01T00:00:00Z,0.496
1959-04-01T00:00:00Z,0.197
1959-05-01T00:00:00Z,0.013
1959-06-01T00:00:00Z,-0.018
1959-07-01T00:00:00Z,-0.134
1959-08-01T00:00:00Z,0.114
1959-09-01T00:00:00Z,0.105
1959-10-01T00:00:00Z,-0.06
1959-11-01T00:00:00Z,-0.17
1959-12-01T00:00:00Z,-0.261
1960-01-01T00:00:00Z,-0.299
1960-02-01T00:00:00Z,-0.257
1960-03-01T00:00:00Z,-0.094
1960-04-01T00:00:00Z,-0.019
1960-05-01T00:00:00Z,-0.335
1960-06-01T00:00:00Z,-0.254
1960-07-01T00:00:00Z,-0.34
1960-08-01T00:00:00Z,-0.251
1960-09-01T00:00:00Z,-0.465
1960-10-01T00:00:00Z,-0.355
1960-11-01T00:00:00Z,-0.331
1960-12-01T00:00:00Z,-0.417
1961-01-01T00:00:00Z,-0.163
1961-02-01T00:00:00Z,-0.261
1961-03-01T00:00:00Z,-0.097
1961-05-01T00:00:00Z,-0.288
1961-06-01T00:00:00Z,-0.137
1961-07-01T00:00:00Z,-0.216
1961-08-01T00:00:00Z,-0.304
1961-09-01T00:00:00Z,-0.301
1961-10-01T00:00:00Z,-0.539
1961-11-01T00:00:00Z,-0.436
1961-12-01T00:00:00Z,-0.634
1962-01-01T00:00:00Z,-1.087
1962-02-01T00:00:00Z,-0.988
1962-03-01T00:00:00Z,-0.724
1962-04-01T00:00:00Z,-1.039
1962-05-01T00:00:00Z,-0.91
1962-06-01T00:00:00Z,-0.852
1962-07-01T00:00:00Z,-0.701
1962-08-01T00:00:00Z,-0.543
1962-09-01T00:00:00Z,-0.551
1962-10-01T00:00:00Z,-0.67
1962-11-01T00:00:00Z,-0.623
1962-12-01T00:00:00Z,-0.505
1963-01-01T00:00:00Z,-0.739
1963-02-01T00:00:00Z,-0.861
1963-03-01T00:00:00Z,-0.69
1963-04-01T00:00:00Z,-0.792
1963-05-01T00:00:00Z,-0.477
1963-06-01T00:00:00Z,-0.087
1963-07-01T00:00:00Z,0.401
1963-08-01T00:00:00Z,0.597
1963-09-01T00:00:00Z,0.75
1963-10-01T00:00:00Z,0.814
1963-11-01T00:00:00Z,0.844
1963-12-01T00:00:00Z,0.744
1964-01-01T00:00:00Z,0.874
1964-02-01T00:00:00Z,0.465
1964-03-01T00:00:00Z,-0.269
1964-04-01T00:00:00Z,-0.563
1964-05-01T00:00:00Z,-1.242
1964-06-01T00:00:00Z,-1.115
1964-07-01T00:00:00Z,-1.405
1964-08-01T00:00:00Z,-1.503
1964-09-01T00:00:00Z,-1.311
1964-10-01T00:00:00Z,-1.225
1964-11-01T00:00:00Z,-1.239
1964-12-01T00:00:00Z,-0.936
1965-01-01T00:00:00Z,-0.557
1965-02-01T00:00:00Z,-0.349
1965-03-01T00:00:00Z,-0.276
1965-04-01T00:00:00Z,0.053
1965-05-01T00:00:00Z,0.49
1965-06-01T00:00:00Z,0.915
1965-07-01T00:00:00Z,1.36
1965-08-01T00:00:00Z,1.443
1965-09-01T00:00:00Z,1.406
1965-10-01T00:00:00Z,1.219
1965-11-01T00:00:00Z,1.362
1965-12-01T00:00:00Z,1.252
1966-01-01T00:00:00Z,1.306
1966-02-01T00:00:00Z,1.178
1966-03-01T00:00:00Z,0.678
1966-04-01T00:00:00Z,0.528
1966-05-01T00:00:00Z,-0.152
1966-06-01T00:00:00Z,-0.168
1966-07-01T00:00:00Z,-0.136
1966-08-01T00:00:00Z,0.155
1966-09-01T00:00:00Z,-0.085
1966-10-01T00:00:00Z,-0.044
1966-11-01T00:00:00Z,0.004
1966-12-01T00:00:00Z,-0.199
1967-01-01T00:00:00Z,-0.473
1967-02-01T00:00:00Z,-0.924
