Date,PDO
1980-01-01T00:00:00Z,-0.11
1980-02-01T00:00:00Z,1.32
1980-03-01T00:00:00Z,1.09
1980-04-01T00:00:00Z,1.49
1980-05-01T00:00:00Z,1.2
1980-06-01T00:00:00Z,-0.22
1980-07-01T00:00:00Z,0.23
1980-08-01T00:00:00Z,0.51
1980-09-01T00:00:00Z,0.1
1980-10-01T00:00:00Z,1.35
1980-11-01T00:00:00Z,0.37
1980-12-01T00:00:00Z,-0.1
1981-01-01T00:00:00Z,0.59
1981-02-01T00:00:00Z,1.46
1981-03-01T00:00:00Z,0.99
1981-04-01T00:00:00Z,1.45
1981-05-01T00:00:00Z,1.75
1981-06-01T00:00:00Z,1.69
1981-07-01T00:00:00Z,0.84
1981-08-01T00:00:00Z,0.18
1981-09-01T00:00:00Z,0.42
1981-10-01T00:00:00Z,0.18
1981-11-01T00:00:00Z,0.8
1981-12-01T00:00:00Z,0.67
1982-01-01T00:00:00Z,0.34
1982-02-01T00:00:00Z,0.2
1982-03-01T00:00:00Z,0.19
1982-04-01T00:00:00Z,-0.19
1982-05-01T00:00:00Z,-0.58
1982-06-01T00:00:00Z,-0.78
1982-07-01T00:00:00Z,0.58
1982-08-01T00:00:00Z,0.39
1982-09-01T00:00:00Z,0.84
1982-10-01T00:00:00Z,0.37
1982-11-01T00:00:00Z,-0.25
1982-12-01T00:00:00Z,0.26
1983-01-01T00:00:00Z,0.56
1983-02-01T00:00:00Z,1.14
1983-03-01T00:00:00Z,2.11
1983-04-01T00:00:00Z,1.87
1983-05-01T00:00:00Z,1.8
1983-06-01T00:00:00Z,2.36
1983-07-01T00:00:00Z,3.51
1983-08-01T00:00:00Z,1.85
1983-09-01T00:00:00Z,0.91
1983-10-01T00:00:00Z,0.96
1983-11-01T00:00:00Z,1.02
1983-12-01T00:00:00Z,1.69
1984-01-01T00:00:00Z,1.5
1984-02-01T00:00:00Z,1.21
1984-03-01T00:00:00Z,1.77
1984-04-01T00:00:00Z,1.52
1984-05-01T00:00:00Z,1.3
1984-06-01T00:00:00Z,0.18
1984-07-01T00:00:00Z,-0.18
1984-08-01T00:00:00Z,-0.03
1984-09-01T00:00:00Z,0.67
1984-10-01T00:00:00Z,0.58
1984-11-01T00:00:00Z,0.71
1984-12-01T00:00:00Z,0.82
1985-01-01T00:00:00Z,1.27
1985-02-01T00:00:00Z,0.94
1985-03-01T00:00:00Z,0.57
1985-04-01T00:00:00Z,0.19
1985-05-01T00:00:00Z,0
1985-06-01T00:00:00Z,0.18
1985-07-01T00:00:00Z,1.07
1985-08-01T00:00:00Z,0.81
