Date,Salmon_lands
1981-01-01T00:00:00Z,27.795
1982-01-01T00:00:00Z,30.656
1983-01-01T00:00:00Z,14.495
1984-01-01T00:00:00Z,15.795
1985-01-01T00:00:00Z,35.329
1986-01-01T00:00:00Z,33.037
1987-01-01T00:00:00Z,37.945
1988-01-01T00:00:00Z,35.049
1989-01-01T00:00:00Z,33.231
1990-01-01T00:00:00Z,23.1
1991-01-01T00:00:00Z,25.1
1992-01-01T00:00:00Z,13.497
1993-01-01T00:00:00Z,18.898
1994-01-01T00:00:00Z,15.727
1995-01-01T00:00:00Z,16.217
1996-01-01T00:00:00Z,10.384
1997-01-01T00:00:00Z,14.129
1998-01-01T00:00:00Z,8.797
1999-01-01T00:00:00Z,6.144
2000-01-01T00:00:00Z,10.059
2001-01-01T00:00:00Z,17.203
2002-01-01T00:00:00Z,20.68
2003-01-01T00:00:00Z,20.859
2004-01-01T00:00:00Z,20.366
2005-01-01T00:00:00Z,13.183
2006-01-01T00:00:00Z,14.132
2007-01-01T00:00:00Z,11.483
2008-01-01T00:00:00Z,8.988
2009-01-01T00:00:00Z,15.623
2010-01-01T00:00:00Z,14.207
2011-01-01T00:00:00Z,19.324
2012-01-01T00:00:00Z,11.29
2013-01-01T00:00:00Z,26.124
2014-01-01T00:00:00Z,16.909
