"Year.of.Observation","cnt_all","strand_anom","cnt_HI","mean_HI","strand_anom_HI","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom"
2003,7.5,-5.66346153846154,1,3.24285714285714,-2.24285714285714,0.51675,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.143329594017094,-0.0911904990842492
2004,19.5,-16.8,3.5,7.37857142857143,-3.87857142857143,0.47725,0.209460254416667,0.345,12.1420833333333,12.5106666666667,60.149925,-30.3241666666667,-2.25205583333333,-0.277037166666667,0.278170405982906,0.442142834249084
2005,17,8.26666666666667,4,2.4,1.6,0.369333333333333,-1.38088173666667,0.375,12.2713333333333,12.7262222222222,59.0830166666667,-22.123925,-1.6639125,-0.526458222222222,0.407420405982907,0.0501519841269836
2006,18.4,1.98993006993007,3,3.89428571428571,-0.894285714285714,0.35025,-0.55398595,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.243055288461539,-0.341190499084249
2007,11.6666666666667,-2.29022181522182,2.33333333333333,3.3702380952381,-1.03690476190476,-0.292833333333333,0.593367138333333,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.280609557109557,-0.111448076923077
2008,16,-3.2349358974359,2.25,4.43035714285714,-2.18035714285714,-0.634083333333333,1.45521991333333,-1.2925,10.93375,11.6178,116.512108333333,-8.4657,-3.3257075,-0.8010407,-0.930162927350427,-0.802798928571428
2009,21.5,1.85,4.25,4.31428571428571,-0.0642857142857144,0.40475,0.7365307425,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.65749626068376,-0.581107165750916
2010,19.5,0.269230769230769,4,4.49285714285714,-0.492857142857143,-0.33975,1.36991890833333,-0.3125,11.4386666666667,12.0105833333333,62.41455,-56.86565,-2.14105727272727,0.879556333333333,-0.42524626068376,-0.0579404990842491
2011,25.5,5.61048951048951,5.75,4.36428571428571,1.38571428571429,-0.887083333333333,0.8574107575,-1.23083333333333,11.890375,12.2397142857143,100.035358333333,-31.005225,-2.605775,0.291517727272727,-0.426427884615385,-0.25874880952381
2012,41,16.3277777777778,9,5.33571428571429,3.66428571428571,0.177333333333333,1.47684468833333,-1.1,11.5450833333333,11.54,102.981908333333,-46.621225,-2.62314166666667,1.83901057142857,-0.318829594017094,-0.528523832417583
2013,14.2,-1.98666666666667,4.2,3.65142857142857,0.548571428571428,-0.0683333333333333,0.344294363333333,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.53724626068376,-0.334940499084248
2014,15,4.48185980685981,3.44444444444444,2.63015873015873,0.814285714285714,0.507916666666667,-0.249523118333333,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.29683707264957,0.37855950091575
2015,15.1666666666667,1.34253431753432,4.5,3.32857142857143,1.17142857142857,1.63758333333333,-1.39516338,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.989546474358975,1.00689283424908
2016,13.25,1.87959228271728,2.5,2.83392857142857,-0.333928571428571,0.918916666666667,-0.1863539025,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.26473183760684,0.960809500915751
2017,10.3333333333333,-0.0368723868723869,3.77777777777778,2.63412698412698,1.14365079365079,0.140666666666667,-0.834475985,0.5175,NA,11.9916666666667,97.6021416666667,-35.0532833333333,-1.97376666666667,0.45874975,NA,-0.0768571657509158
