"Date","CBA_South","CBA_North","Msquid_N","Herring","Anch","Sard","Year.of.Observation","Month.of.Observation"
2003-01-01,0.015843982,-0.35752916,0.554979,0.547059,0.208543,0.393889,2003,"JAN"
2003-02-01,0.05484236,-0.44544688,NA,NA,NA,NA,2003,"FEB"
2003-03-01,0.6397739,0.25859803,NA,NA,NA,NA,2003,"MAR"
2003-04-01,0.41464236,0.17993824,NA,NA,NA,NA,2003,"APR"
2003-05-01,0.36278605,-0.42394167,NA,NA,NA,NA,2003,"MAY"
2003-06-01,0.045731205,0.32258397,NA,NA,NA,NA,2003,"JUN"
2003-07-01,0.14504628,0.041762684,NA,NA,NA,NA,2003,"JUL"
2003-08-01,-0.048141204,-0.16245294,NA,NA,NA,NA,2003,"AUG"
2003-09-01,-0.06139888,-0.43742883,NA,NA,NA,NA,2003,"SEP"
2003-10-01,0.18251559,-0.08092176,NA,NA,NA,NA,2003,"OCT"
2003-11-01,-0.16206451,-0.14368148,NA,NA,NA,NA,2003,"NOV"
2004-01-01,0.124510646,-0.9306125,0.306804,0.12362,1.19523,1.42007,2004,"JAN"
2004-02-01,0.19251274,-0.4048913,NA,NA,NA,NA,2004,"FEB"
2004-03-01,0.3426517,-0.4535353,NA,NA,NA,NA,2004,"MAR"
2004-04-01,0.3780609,0.28318268,NA,NA,NA,NA,2004,"APR"
2004-05-01,0.22641662,0.5472583,NA,NA,NA,NA,2004,"MAY"
2004-06-01,0.2503951,0.40230897,NA,NA,NA,NA,2004,"JUN"
2004-07-01,0.10502036,-0.10970398,NA,NA,NA,NA,2004,"JUL"
2004-08-01,0.24839768,-0.011452932,NA,NA,NA,NA,2004,"AUG"
2004-09-01,0.18603538,-0.5586177,NA,NA,NA,NA,2004,"SEP"
2004-10-01,0.10491559,-0.6377384,NA,NA,NA,NA,2004,"OCT"
2004-11-01,0.16705216,-0.16909815,NA,NA,NA,NA,2004,"NOV"
2004-12-01,-0.03409889,-0.30037335,NA,NA,NA,NA,2004,"DEC"
2005-01-01,0.3868884,-0.5091958,0.124197,0.0738636,0.893062,0.237365,2005,"JAN"
2005-02-01,0.46488497,-0.458408,NA,NA,NA,NA,2005,"FEB"
2005-03-01,0.30000725,-0.7374353,NA,NA,NA,NA,2005,"MAR"
2005-04-01,0.6402609,-0.8206173,NA,NA,NA,NA,2005,"APR"
2005-05-01,0.64764714,-1.1962917,NA,NA,NA,NA,2005,"MAY"
2005-06-01,0.642496,-1.5352439,NA,NA,NA,NA,2005,"JUN"
2005-07-01,0.6054796,-1.1302207,NA,NA,NA,NA,2005,"JUL"
2005-08-01,0.5448699,-0.2004696,NA,NA,NA,NA,2005,"AUG"
2005-09-01,0.28880852,-0.1648066,NA,NA,NA,NA,2005,"SEP"
2005-10-01,0.37764892,0.053694908,NA,NA,NA,NA,2005,"OCT"
2005-11-01,0.13082439,-0.06798148,NA,NA,NA,NA,2005,"NOV"
2005-12-01,0.121634446,0.43519333,NA,NA,NA,NA,2005,"DEC"
2006-01-01,NA,NA,0.309274,0.0235695,0.124759,0.208015,2006,"JAN"
2006-02-01,-0.06634282,0.092275344,NA,NA,NA,NA,2006,"FEB"
2006-03-01,0.1648517,0.08759804,NA,NA,NA,NA,2006,"MAR"
2006-04-01,-0.020957625,-0.40151733,NA,NA,NA,NA,2006,"APR"
2006-05-01,-0.011294496,-0.62506664,NA,NA,NA,NA,2006,"MAY"
2006-06-01,0.17285231,0.18012063,NA,NA,NA,NA,2006,"JUN"
2006-07-01,0.04616295,0.17119601,NA,NA,NA,NA,2006,"JUL"
2006-08-01,0.036378242,-0.12650293,NA,NA,NA,NA,2006,"AUG"
2006-09-01,0.110138156,0.35584894,NA,NA,NA,NA,2006,"SEP"
2006-10-01,-0.110523306,0.04267824,NA,NA,NA,NA,2006,"OCT"
2006-11-01,0.6212466,-0.23804815,NA,NA,NA,NA,2006,"NOV"
2006-12-01,0.040145557,-0.25717333,NA,NA,NA,NA,2006,"DEC"
2007-01-01,-0.001061574,0.15897083,0.0719958,0.161659,0.285407,0.0882064,2007,"JAN"
2007-02-01,-0.06358727,0.5210087,NA,NA,NA,NA,2007,"FEB"
2007-03-01,-0.15655942,-0.25452697,NA,NA,NA,NA,2007,"MAR"
2007-04-01,-0.316228,0.19578268,NA,NA,NA,NA,2007,"APR"
2007-05-01,-0.2620769,0.11040278,NA,NA,NA,NA,2007,"MAY"
2007-06-01,-0.15863824,0.31537563,NA,NA,NA,NA,2007,"JUN"
2007-07-01,-0.1244389,0.13714047,NA,NA,NA,NA,2007,"JUL"
2007-08-01,0.00027,0.034647066,NA,NA,NA,NA,2007,"AUG"
2007-09-01,0.19364926,0.08294895,NA,NA,NA,NA,2007,"SEP"
2007-10-01,0.019554475,-0.2567051,NA,NA,NA,NA,2007,"OCT"
2007-11-01,-0.31537005,-0.13489814,NA,NA,NA,NA,2007,"NOV"
2007-12-01,-0.49321,0.17636,NA,NA,NA,NA,2007,"DEC"
2008-01-01,NA,NA,0.0419517,0.200486,0.126399,0.057719,2008,"JAN"
2008-02-01,-0.24509282,0.09707535,NA,NA,NA,NA,2008,"FEB"
2008-03-01,-0.47198164,0.5498314,NA,NA,NA,NA,2008,"MAR"
2008-04-01,-0.27467245,0.68869936,NA,NA,NA,NA,2008,"APR"
2008-05-01,-0.28076673,0.5636167,NA,NA,NA,NA,2008,"MAY"
2008-06-01,-0.24245213,0.28202286,NA,NA,NA,NA,2008,"JUN"
2008-07-01,-0.21425371,0.29765436,NA,NA,NA,NA,2008,"JUL"
2008-08-01,-0.21075602,0.21896929,NA,NA,NA,NA,2008,"AUG"
2008-09-01,-0.22064333,-0.07876216,NA,NA,NA,NA,2008,"SEP"
2008-10-01,-0.17875941,0.36873657,NA,NA,NA,NA,2008,"OCT"
2008-11-01,-0.066586725,0.18053518,NA,NA,NA,NA,2008,"NOV"
2008-12-01,0.19353445,0.11592667,NA,NA,NA,NA,2008,"DEC"
2009-01-01,-0.29455045,0.7900208,0.00938998,0.138635,0.329128,0.287237,2009,"JAN"
2009-02-01,-0.18166505,0.33072534,NA,NA,NA,NA,2009,"FEB"
2009-03-01,-0.43533164,-0.13501863,NA,NA,NA,NA,2009,"MAR"
2009-04-01,-0.38218355,0.53124934,NA,NA,NA,NA,2009,"APR"
2009-05-01,-0.29684356,0.62150276,NA,NA,NA,NA,2009,"MAY"
2009-06-01,-0.17485954,0.12787841,NA,NA,NA,NA,2009,"JUN"
2009-07-01,-0.19574817,0.11169602,NA,NA,NA,NA,2009,"JUL"
2009-08-01,-0.1348801,0.20311373,NA,NA,NA,NA,2009,"AUG"
2009-09-01,-0.12686184,-0.30285105,NA,NA,NA,NA,2009,"SEP"
2009-10-01,-0.2724622,-0.28257176,NA,NA,NA,NA,2009,"OCT"
2009-11-01,-0.2739534,-0.07613148,NA,NA,NA,NA,2009,"NOV"
2009-12-01,-0.07969333,0.20312667,NA,NA,NA,NA,2009,"DEC"
2010-01-01,NA,NA,0.133465,0.115225,0.328019,0.0955842,2010,"JAN"
2010-02-01,0.4008683,-0.66334134,NA,NA,NA,NA,2010,"FEB"
2010-03-01,0.2391739,0.037531372,NA,NA,NA,NA,2010,"MAR"
2010-04-01,0.33103868,-0.79605067,NA,NA,NA,NA,2010,"APR"
