Date,CBA_South,CBA_North,Msquid_N,Herring,Anch,Sard,Year.of.Observation,Month.of.Observation
1/1/03,0.015843982,-0.35752916,0.554979,0.547059,0.208543,0.393889,2003,JAN
2/1/03,0.05484236,-0.44544688,0.554979,0.547059,0.208543,0.393889,2003,FEB
3/1/03,0.6397739,0.25859803,0.554979,0.547059,0.208543,0.393889,2003,MAR
4/1/03,0.41464236,0.17993824,0.554979,0.547059,0.208543,0.393889,2003,APR
5/1/03,0.36278605,-0.42394167,0.554979,0.547059,0.208543,0.393889,2003,MAY
6/1/03,0.045731205,0.32258397,0.554979,0.547059,0.208543,0.393889,2003,JUN
7/1/03,0.14504628,0.041762684,0.554979,0.547059,0.208543,0.393889,2003,JUL
8/1/03,-0.048141204,-0.16245294,0.554979,0.547059,0.208543,0.393889,2003,AUG
9/1/03,-0.06139888,-0.43742883,0.554979,0.547059,0.208543,0.393889,2003,SEP
10/1/03,0.18251559,-0.08092176,0.554979,0.547059,0.208543,0.393889,2003,OCT
11/1/03,-0.16206451,-0.14368148,0.554979,0.547059,0.208543,0.393889,2003,NOV
1/1/04,0.124510646,-0.9306125,0.306804,0.12362,1.19523,1.42007,2004,JAN
2/1/04,0.19251274,-0.4048913,0.306804,0.12362,1.19523,1.42007,2004,FEB
3/1/04,0.3426517,-0.4535353,0.306804,0.12362,1.19523,1.42007,2004,MAR
4/1/04,0.3780609,0.28318268,0.306804,0.12362,1.19523,1.42007,2004,APR
5/1/04,0.22641662,0.5472583,0.306804,0.12362,1.19523,1.42007,2004,MAY
6/1/04,0.2503951,0.40230897,0.306804,0.12362,1.19523,1.42007,2004,JUN
7/1/04,0.10502036,-0.10970398,0.306804,0.12362,1.19523,1.42007,2004,JUL
8/1/04,0.24839768,-0.011452932,0.306804,0.12362,1.19523,1.42007,2004,AUG
9/1/04,0.18603538,-0.5586177,0.306804,0.12362,1.19523,1.42007,2004,SEP
10/1/04,0.10491559,-0.6377384,0.306804,0.12362,1.19523,1.42007,2004,OCT
11/1/04,0.16705216,-0.16909815,0.306804,0.12362,1.19523,1.42007,2004,NOV
12/1/04,-0.03409889,-0.30037335,0.306804,0.12362,1.19523,1.42007,2004,DEC
1/1/05,0.3868884,-0.5091958,0.124197,0.0738636,0.893062,0.237365,2005,JAN
2/1/05,0.46488497,-0.458408,0.124197,0.0738636,0.893062,0.237365,2005,FEB
3/1/05,0.30000725,-0.7374353,0.124197,0.0738636,0.893062,0.237365,2005,MAR
4/1/05,0.6402609,-0.8206173,0.124197,0.0738636,0.893062,0.237365,2005,APR
5/1/05,0.64764714,-1.1962917,0.124197,0.0738636,0.893062,0.237365,2005,MAY
6/1/05,0.642496,-1.5352439,0.124197,0.0738636,0.893062,0.237365,2005,JUN
7/1/05,0.6054796,-1.1302207,0.124197,0.0738636,0.893062,0.237365,2005,JUL
8/1/05,0.5448699,-0.2004696,0.124197,0.0738636,0.893062,0.237365,2005,AUG
9/1/05,0.28880852,-0.1648066,0.124197,0.0738636,0.893062,0.237365,2005,SEP
10/1/05,0.37764892,0.053694908,0.124197,0.0738636,0.893062,0.237365,2005,OCT
11/1/05,0.13082439,-0.06798148,0.124197,0.0738636,0.893062,0.237365,2005,NOV
12/1/05,0.121634446,0.43519333,0.124197,0.0738636,0.893062,0.237365,2005,DEC
1/1/06,NA,NA,0.309274,0.0235695,0.124759,0.208015,2006,JAN
