Date,MEI,NPGO,PDO,SST_39,SST_44,Upwelling_39,Upwelling_45,Wind_39,Wind_44,ENSO_cat
1/1/89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/1/89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/1/89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/1/89,-1.12,1.3125811,-0.95,9.904,NA,43.4233,-21.0399,-3.30766,NA,La Nina
5/1/89,-1.271,0.6617441,-1.02,10.164,NA,20.9377,-14.2789,-1.80313,NA,La Nina
6/1/89,-1.037,0.92933697,-0.83,10.627,NA,-60.3502,-84.6327,2.08643,NA,La Nina
7/1/89,-0.795,0.78376126,-0.32,11.842,NA,31.9483,-2.3773,-1.14184,NA,La Nina
8/1/89,-0.435,0.5835106,0.47,NA,NA,79.9911,14.2468,NA,NA,La Nina
9/1/89,-0.253,0.5221062,0.36,11.451,NA,85.6068,50.1427,-2.82957,NA,La Nina
10/1/89,-0.459,1.2640097,0.83,10.856,NA,143.6646,39.9602,-6.55351,NA,La Nina
11/1/89,-0.497,0.6669763,0.09,11.614,NA,112.0781,44.4115,-3.51031,NA,La Nina
12/1/89,-0.311,0.65426135,0.05,12.595,NA,51.1964,31.7127,-1.51678,NA,La Nina
1/1/90,-0.341,0.44178706,-0.12,12.398,NA,31.9237,-13.1792,-1.86914,NA,La Nina
2/1/90,-0.073,-0.3006112,-0.5,12.224,NA,45.4226,-20.9877,-3.18375,NA,La Nina
3/1/90,0.115,-0.17257603,-0.21,12.579,NA,31.3082,-45.7036,-1.69283,NA,El Nino
4/1/90,0.237,0.2687734,-0.3,11.525,NA,15.8478,-74.3323,-1.64286,NA,El Nino
5/1/90,0.555,-0.28017566,-0.65,10.814,NA,27.1459,-52.2606,-2.44425,NA,El Nino
6/1/90,0.945,0.6527155,-0.62,10.639,NA,24.3122,-24.5688,-2.07493,NA,El Nino
7/1/90,0.442,0.24156556,0.27,11.022,NA,55.6741,8.4519,-3.22949,NA,El Nino
8/1/90,0.637,-0.09605543,0.44,10.834,NA,85.2798,7.3765,-2.96233,NA,El Nino
9/1/90,0.484,-0.06543378,0.44,11.429,NA,74.7587,7.6399,-3.78799,NA,El Nino
10/1/90,0.12,-0.25829867,0.27,12.9,NA,74.439,61.8667,-2.94553,NA,El Nino
11/1/90,0.131,-0.3304058,0.11,12.807,NA,37.9325,16.9981,-1.90756,NA,El Nino
