"Year.of.Observation","Pinniped.Common.Name","cnt_all","strand_anom","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom"
1989,"California sea lion",8,-72.4642857142857,-0.53975,0.6122406175,-0.179166666666667,11.4776363636364,NA,51.4292166666667,-1.81045,-2.30200818181818,NA,-0.492903387047735,NA
1989,"Harbor seal",11,-57.9642857142857,-0.53975,0.6122406175,-0.179166666666667,11.4776363636364,NA,51.4292166666667,-1.81045,-2.30200818181818,NA,-0.492903387047735,NA
1989,"Steller sea lion",1,-32.2307692307692,-0.53975,0.6122406175,-0.179166666666667,11.4776363636364,NA,51.4292166666667,-1.81045,-2.30200818181818,NA,-0.492903387047735,NA
1990,"California sea lion",22,-58.4642857142857,0.412583333333333,-0.201546121666667,-0.355833333333333,11.8460833333333,NA,51.16715,-13.33505,-3.0596425,NA,-0.0492483946488297,NA
1990,"Harbor seal",41,-27.9642857142857,0.412583333333333,-0.201546121666667,-0.355833333333333,11.8460833333333,NA,51.16715,-13.33505,-3.0596425,NA,-0.0492483946488297,NA
1990,"Steller sea lion",10,-23.2307692307692,0.412583333333333,-0.201546121666667,-0.355833333333333,11.8460833333333,NA,51.16715,-13.33505,-3.0596425,NA,-0.0492483946488297,NA
1991,"California sea lion",24,-56.4642857142857,0.8065,-0.498914717666667,-0.419166666666667,11.3732,10.996,54.0167583333333,-21.1840333333333,-2.390138,2.500107,-0.342224996655519,-0.519979166666666
1991,"Harbor seal",42,-26.9642857142857,0.8065,-0.498914717666667,-0.419166666666667,11.3732,10.996,54.0167583333333,-21.1840333333333,-2.390138,2.500107,-0.342224996655519,-0.519979166666666
1991,"Steller sea lion",1,-32.2307692307692,0.8065,-0.498914717666667,-0.419166666666667,11.3732,10.996,54.0167583333333,-21.1840333333333,-2.390138,2.500107,-0.342224996655519,-0.519979166666666
1992,"California sea lion",16,-64.4642857142857,1.309,-1.0949188725,0.928333333333333,13.29425,12.1149166666667,33.3160916666667,-28.825925,-1.55006125,-0.795996727272727,1.0380130511427,0.132396949038439
1992,"Harbor seal",76,7.03571428571429,1.309,-1.0949188725,0.928333333333333,13.29425,12.1149166666667,33.3160916666667,-28.825925,-1.55006125,-0.795996727272727,1.0380130511427,0.132396949038439
1992,"Steller sea lion",3,-30.2307692307692,1.309,-1.0949188725,0.928333333333333,13.29425,12.1149166666667,33.3160916666667,-28.825925,-1.55006125,-0.795996727272727,1.0380130511427,0.132396949038439
1993,"California sea lion",25,-55.4642857142857,1.1125,-1.9019926225,1.41666666666667,12.3974444444444,11.8565833333333,35.7635583333333,-30.73925,-1.96045666666667,0.40495825,0.273228992320079,-0.125936384294894
1993,"Harbor seal",59,-9.96428571428571,1.1125,-1.9019926225,1.41666666666667,12.3974444444444,11.8565833333333,35.7635583333333,-30.73925,-1.96045666666667,0.40495825,0.273228992320079,-0.125936384294894
1993,"Steller sea lion",11,-22.2307692307692,1.1125,-1.9019926225,1.41666666666667,12.3974444444444,11.8565833333333,35.7635583333333,-30.73925,-1.96045666666667,0.40495825,0.273228992320079,-0.125936384294894
1994,"California sea lion",13,-67.4642857142857,0.7545,-1.211598785,-0.151666666666667,11.57525,11.99525,56.7530666666667,-29.2570583333333,-2.80351333333333,-1.43980133333333,-0.320081727982163,0.285567045454546
1994,"Harbor seal",55,-13.9642857142857,0.7545,-1.211598785,-0.151666666666667,11.57525,11.99525,56.7530666666667,-29.2570583333333,-2.80351333333333,-1.43980133333333,-0.320081727982163,0.285567045454546
1994,"Steller sea lion",4,-29.2307692307692,0.7545,-1.211598785,-0.151666666666667,11.57525,11.99525,56.7530666666667,-29.2570583333333,-2.80351333333333,-1.43980133333333,-0.320081727982163,0.285567045454546
