"Year.of.Observation","cnt_all","strand_anom","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom","CBA_North","CBA_South"
1989,6.66666666666667,-54.2197802197802,-0.53975,0.6122406175,-0.179166666666667,11.4776363636364,NA,51.4292166666667,-1.81045,-2.30200818181818,NA,-0.492903387047734,NA,NA,NA
1990,24.3333333333333,-36.5531135531135,0.412583333333333,-0.201546121666667,-0.355833333333333,11.8460833333333,NA,51.16715,-13.33505,-3.0596425,NA,-0.0492483946488292,NA,NA,NA
1991,22.3333333333333,-38.5531135531135,0.8065,-0.498914717666667,-0.419166666666667,11.3732,10.996,54.0167583333333,-21.1840333333333,-2.390138,2.500107,-0.342224996655518,-0.519979166666666,NA,NA
1992,31.6666666666667,-29.2197802197802,1.309,-1.0949188725,0.928333333333333,13.29425,12.1149166666667,33.3160916666667,-28.825925,-1.55006125,-0.795996727272727,1.0380130511427,0.132396949038439,NA,NA
1993,31.6666666666667,-29.2197802197802,1.1125,-1.9019926225,1.41666666666667,12.3974444444444,11.8565833333333,35.7635583333333,-30.73925,-1.96045666666667,0.40495825,0.273228992320079,-0.125936384294894,NA,NA
1994,24,-36.8864468864469,0.7545,-1.211598785,-0.151666666666667,11.57525,11.99525,56.7530666666667,-29.2570583333333,-2.80351333333333,-1.43980133333333,-0.320081727982163,0.285567045454546,NA,NA
1995,18,-56.7142857142857,0.227166666666667,-1.03920855916667,0.6425,12.1486363636364,13.49425,22.6484583333333,-44.4648333333333,-0.733636666666667,-0.395890875,0.251989893584676,0.689172945487482,NA,NA
1996,14,-46.8864468864469,-0.312083333333333,-0.972836595,0.640833333333333,12.15075,11.780875,57.3358333333333,-22.87705,-2.0214225,-0.4232755,0.255418272017837,0.00122929625199324,NA,NA
1997,21,-39.8864468864469,1.571,-0.657690609166667,1.46083333333333,13.1489166666667,13.6812,87.4543333333333,-45.4834666666667,-2.5802625,1.8861516,1.2535849386845,1.6993191370224,-0.457027890909091,0.129523879636364
1998,28,-32.8864468864469,0.902083333333333,0.544553275166667,0.245833333333333,12.6874545454545,13.0315555555556,54.3282833333333,-57.2931416666667,-1.47188416666667,-0.170940666666667,0.824008744299179,0.498561136729615,-0.674212950909091,0.366422295454545
1999,21.3333333333333,-39.5531135531135,-0.886666666666667,1.51578051666667,-1.06333333333333,12.0346666666667,10.0903333333333,119.979008333333,-74.05335,-2.51627,0.585029833333333,-0.577269230769231,-1.00257504131706,0.0172433999166667,-0.21431601825
2000,25.5,-49.2142857142857,-0.503666666666667,1.8858613,-0.59,11.4466666666667,11.2718333333333,92.6549333333333,-34.8501,-1.80908333333333,-0.392331818181818,-0.448665061315496,-0.710686384294893,0.03346019925,-0.214387285833333
2001,12.3333333333333,-48.5531135531135,-0.13025,2.08069336666667,-0.5625,11.15825,11.3287272727273,122.135866666667,-34.9395916666667,-2.24662583333333,-1.1233083,-0.737081727982163,-0.737566964685338,0.153169389833333,-0.148692651666667
2002,7,-53.8864468864469,0.642166666666667,1.4735939275,0.220833333333333,11.4340909090909,11.2370909090909,103.8053,-39.425025,-1.88735545454545,-0.719580818181818,-0.483710975980542,-0.89326393438231,0.217530636666667,-0.10373100275
2003,31.3333333333333,-29.5531135531136,0.494416666666667,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.17474839464883,-0.00518638429489429,-0.1820438575,0.182689951833333
2004,66,5.11355311355312,0.453166666666667,0.209460254416667,0.345,12.1420833333333,12.5106666666667,60.149925,-30.3241666666667,-2.25205583333333,-0.277037166666667,0.24675160535117,0.52814694903844,-0.184735912333333,0.2333450735
2005,36.3333333333333,-24.5531135531136,0.356333333333333,-1.381917955,0.375,12.2713333333333,12.7262222222222,59.0830166666667,-22.123925,-1.6639125,-0.526458222222222,0.37600160535117,0.150748173766652,-0.448778203909091,0.373037849545455
2006,93,32.1135531135531,0.333333333333333,-0.555042004166667,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.218033830128205,-0.255186384294894,-0.0358807761666667,0.0565586109166667
2007,107.666666666667,46.7802197802198,-0.316583333333333,0.593098209166667,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.338101015506233,-0.0181124192307944,0.129015495,-0.196127038363636
2008,99,38.1135531135531,-0.6485,1.45527457083333,-1.2925,10.93375,11.6178,116.512108333333,-8.4657,-3.3257075,-0.8010407,-0.961581727982163,-0.711716643610013,0.302935611666667,-0.201505926666667
2009,187,126.113553113553,0.4085,0.73691483,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.688915061315497,-0.49510305096156,0.0502011065454546,-0.116479827272727
2010,187.333333333333,126.446886446886,-0.365833333333333,1.3685688725,-0.3125,11.4386666666667,12.0105833333333,62.41455,-56.86565,-2.14105727272727,0.879556333333333,-0.456665061315496,0.0280636157051058,0.242290201416667,0.05118578375
2011,102,41.1135531135531,-0.9075,0.857692195833333,-1.23083333333333,11.890375,12.2397142857143,100.035358333333,-31.005225,-2.605775,0.291517727272727,-0.412918615523968,-0.162109707321665,0.458181159,-0.0554424075
2012,98.6666666666667,37.7802197802198,0.169166666666667,1.4765224,-1.1,11.5450833333333,11.54,102.981908333333,-46.621225,-2.62314166666667,1.83901057142857,-0.350248394648829,-0.442519717628228,0.260649278333333,-0.0567414975
2013,86.6666666666667,25.7802197802198,-0.103583333333333,0.34436469,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.568665061315496,-0.248936384294895,0.276065699333333,-0.209440803333333
2014,84.3333333333333,23.4468864468864,0.491666666666667,-0.251159114166667,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.26541827201784,0.464563615705107,-0.351969953333333,0.183861666916667
2015,117.666666666667,56.7802197802198,1.63758333333333,-1.39691805,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.994586366360089,1.09289694903844,-0.8661687205,0.4530682225
2016,112.333333333333,51.4468864468865,0.896,-0.0616944364166667,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.15397914251208,1.04681361570511,-0.7556399875,0.44340868
