"Year.of.Observation","Pinniped.Common.Name","variable","value"
1989,"California sea lion","cnt",8
1989,"Harbor seal","cnt",11
1989,"Steller sea lion","cnt",1
1990,"Steller sea lion","cnt",10
1990,"California sea lion","cnt",22
1990,"Harbor seal","cnt",41
1991,"Steller sea lion","cnt",1
1991,"California sea lion","cnt",24
1991,"Harbor seal","cnt",42
1992,"Steller sea lion","cnt",3
1992,"Harbor seal","cnt",76
1992,"California sea lion","cnt",16
1993,"Steller sea lion","cnt",11
1993,"Harbor seal","cnt",59
1993,"California sea lion","cnt",25
1994,"Harbor seal","cnt",55
1994,"Steller sea lion","cnt",4
1994,"California sea lion","cnt",13
1995,"Harbor seal","cnt",25
1995,"California sea lion","cnt",11
1996,"Steller sea lion","cnt",12
1996,"Harbor seal","cnt",19
1996,"California sea lion","cnt",11
1997,"Steller sea lion","cnt",10
1997,"Harbor seal","cnt",31
1997,"California sea lion","cnt",22
1998,"Harbor seal","cnt",25
1998,"Steller sea lion","cnt",6
1998,"California sea lion","cnt",53
1999,"California sea lion","cnt",19
1999,"Steller sea lion","cnt",1
1999,"Harbor seal","cnt",44
2000,"Harbor seal","cnt",24
2000,"California sea lion","cnt",27
2001,"Steller sea lion","cnt",1
2001,"Harbor seal","cnt",22
2001,"California sea lion","cnt",14
2002,"Steller sea lion","cnt",1
2002,"Harbor seal","cnt",6
2002,"California sea lion","cnt",14
2003,"California sea lion","cnt",40
2003,"Harbor seal","cnt",38
2003,"Steller sea lion","cnt",16
2004,"California sea lion","cnt",103
2004,"Harbor seal","cnt",73
2004,"Steller sea lion","cnt",22
2005,"Steller sea lion","cnt",17
2005,"California sea lion","cnt",44
2005,"Harbor seal","cnt",48
2006,"Steller sea lion","cnt",39
2006,"Harbor seal","cnt",124
2006,"California sea lion","cnt",116
2007,"California sea lion","cnt",108
2007,"Harbor seal","cnt",104
2007,"Steller sea lion","cnt",111
2008,"Harbor seal","cnt",101
2008,"California sea lion","cnt",120
2008,"Steller sea lion","cnt",76
2009,"Steller sea lion","cnt",73
2009,"California sea lion","cnt",363
2009,"Harbor seal","cnt",125
2010,"Steller sea lion","cnt",64
2010,"Harbor seal","cnt",128
2010,"California sea lion","cnt",370
2011,"Steller sea lion","cnt",45
2011,"Harbor seal","cnt",141
2011,"California sea lion","cnt",120
2012,"Steller sea lion","cnt",74
2012,"California sea lion","cnt",82
2012,"Harbor seal","cnt",140
2013,"Harbor seal","cnt",89
2013,"Steller sea lion","cnt",70
2013,"California sea lion","cnt",101
2014,"Harbor seal","cnt",95
2014,"Steller sea lion","cnt",64
2014,"California sea lion","cnt",94
2015,"Steller sea lion","cnt",78
2015,"Harbor seal","cnt",117
2015,"California sea lion","cnt",158
2016,"California sea lion","cnt",155
2016,"Steller sea lion","cnt",54
2016,"Harbor seal","cnt",128
1989,"California sea lion","strand_anom",-72.4642857142857
1989,"Harbor seal","strand_anom",-57.9642857142857
1989,"Steller sea lion","strand_anom",-32.2307692307692
1990,"Steller sea lion","strand_anom",-23.2307692307692
1990,"California sea lion","strand_anom",-58.4642857142857
1990,"Harbor seal","strand_anom",-27.9642857142857
1991,"Steller sea lion","strand_anom",-32.2307692307692
1991,"California sea lion","strand_anom",-56.4642857142857
1991,"Harbor seal","strand_anom",-26.9642857142857
1992,"Steller sea lion","strand_anom",-30.2307692307692
1992,"Harbor seal","strand_anom",7.03571428571429
1992,"California sea lion","strand_anom",-64.4642857142857
1993,"Steller sea lion","strand_anom",-22.2307692307692
1993,"Harbor seal","strand_anom",-9.96428571428571
1993,"California sea lion","strand_anom",-55.4642857142857
1994,"Harbor seal","strand_anom",-13.9642857142857
1994,"Steller sea lion","strand_anom",-29.2307692307692
1994,"California sea lion","strand_anom",-67.4642857142857
1995,"Harbor seal","strand_anom",-43.9642857142857
1995,"California sea lion","strand_anom",-69.4642857142857
1996,"Steller sea lion","strand_anom",-21.2307692307692
1996,"Harbor seal","strand_anom",-49.9642857142857
1996,"California sea lion","strand_anom",-69.4642857142857
1997,"Steller sea lion","strand_anom",-23.2307692307692
1997,"Harbor seal","strand_anom",-37.9642857142857
1997,"California sea lion","strand_anom",-58.4642857142857
1998,"Harbor seal","strand_anom",-43.9642857142857
1998,"Steller sea lion","strand_anom",-27.2307692307692
1998,"California sea lion","strand_anom",-27.4642857142857
1999,"California sea lion","strand_anom",-61.4642857142857
1999,"Steller sea lion","strand_anom",-32.2307692307692
1999,"Harbor seal","strand_anom",-24.9642857142857
2000,"Harbor seal","strand_anom",-44.9642857142857
2000,"California sea lion","strand_anom",-53.4642857142857
2001,"Steller sea lion","strand_anom",-32.2307692307692
2001,"Harbor seal","strand_anom",-46.9642857142857
2001,"California sea lion","strand_anom",-66.4642857142857
2002,"Steller sea lion","strand_anom",-32.2307692307692
2002,"Harbor seal","strand_anom",-62.9642857142857
2002,"California sea lion","strand_anom",-66.4642857142857
2003,"California sea lion","strand_anom",-40.4642857142857
2003,"Harbor seal","strand_anom",-30.9642857142857
2003,"Steller sea lion","strand_anom",-17.2307692307692
2004,"California sea lion","strand_anom",22.5357142857143
