"Year.of.Observation","Month.of.Observation","cnt_all","mean_all","strand_anom_all","cnt_HI","mean_HI","strand_anom_HI","cnt_FI","mean_FI","strand_anom_FI","Date","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","ENSO_cat","Date_lag1","MEI_lag1","NPGO_lag1","PDO_lag1","SST_39_lag1","SST_44_lag1","Upwelling_39_lag1","Upwelling_45_lag1","Wind_39_lag1","Wind_44_lag1","ENSO_cat_lag1","Date_lag2","MEI_lag2","NPGO_lag2","PDO_lag2","SST_39_lag2","SST_44_lag2","Upwelling_39_lag2","Upwelling_45_lag2","Wind_39_lag2","Wind_44_lag2","ENSO_cat_lag2","Date_lag3","MEI_lag3","NPGO_lag3","PDO_lag3","SST_39_lag3","SST_44_lag3","Upwelling_39_lag3","Upwelling_45_lag3","Wind_39_lag3","Wind_44_lag3","ENSO_cat_lag3","SST_39_anom","SST_44_anom","CBA_North","CBA_South"
1989,"JAN",4,4.5,-0.5,NA,NA,NA,NA,NA,NA,1989-01-01,-1.12,1.3125811,-0.95,9.904,NA,43.4233,-21.0399,-3.30766,NA,"La Nina",1989-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.74416,NA,NA,NA
1990,"JAN",1,4.5,-3.5,NA,NA,NA,NA,NA,NA,1990-01-01,0.237,0.2687734,-0.3,11.525,NA,15.8478,-74.3323,-1.64286,NA,"El Nino",1990-01-01,0.115,-0.17257603,-0.21,12.579,NA,31.3082,-45.7036,-1.69283,NA,"El Nino",1990-01-01,-0.073,-0.3006112,-0.5,12.224,NA,45.4226,-20.9877,-3.18375,NA,"La Nina",1990-01-01,-0.341,0.44178706,-0.12,12.398,NA,31.9237,-13.1792,-1.86914,NA,"La Nina",-0.12316,NA,NA,NA
1991,"JAN",3,4.5,-1.5,NA,NA,NA,NA,NA,NA,1991-01-01,0.313,-0.7442184,-2.02,10.65,NA,-3.395,-65.1978,-0.13504,NA,"El Nino",1991-01-01,0.348,-1.532809,-2.23,10.878,NA,54.8134,-30.4495,-3.82406,NA,"El Nino",1991-01-01,0.389,-0.73895204,-1.69,11.96,NA,41.1261,-62.8347,-4.17844,NA,"El Nino",1991-01-01,0.285,-0.12022116,-0.69,11.981,NA,75.8158,-42.3676,-4.56965,NA,"El Nino",-0.99816,NA,NA,NA
1992,"JAN",3,4.5,-1.5,NA,NA,NA,NA,NA,NA,1992-01-01,1.743,0.49307737,0.05,12.08,9.942,-50.7698,-158.0583,-0.68763,3.103972,"El Nino",1992-01-01,1.32,-0.21297704,0.09,11.654,10.332,-23.7251,-77.6305,1.35897,2.478155,"El Nino",1992-01-01,1.189,-0.17231725,0.42,NA,11.66,39.5068,-87.0095,NA,2.522059,"El Nino",1992-01-01,1.009,-1.0900902,0.49,NA,NA,76.622,25.7295,NA,NA,"El Nino",0.431839999999999,-0.414333333333333,NA,NA
1993,"JAN",1,4.5,-3.5,NA,NA,NA,NA,NA,NA,1993-01-01,0.687,-2.8169835,0.05,11.791,9.887,-24.263,-49.8976,-0.09767,2.138567,"El Nino",1993-01-01,0.648,-1.8686891,0.53,12.34,10.854,22.6684,-44.6471,0.26282,1.810505,"El Nino",1993-01-01,0.582,-1.2806748,0.93,13.04,12.278,18.0295,-65.9715,-3.00058,1.431224,"El Nino",1993-01-01,0.641,-0.968989,0.93,14.57,12.334,24.4055,-43.9571,-0.94071,-0.006812,"El Nino",0.14284,-0.469333333333333,NA,NA
1994,"JAN",6,4.5,1.5,1,1.76923076923077,-0.769230769230769,1,1.33333333333333,-0.333333333333333,1994-01-01,0.353,-1.8540143,1.21,12.182,NA,-13.4808,-63.1586,0.3289,NA,"El Nino",1994-01-01,0.589,-2.0005527,1.07,12.348,10.007,-47.1615,-143.8541,1.05141,7.316981,"El Nino",1994-01-01,0.834,-2.9986691,1.24,12.481,10.454,58.9534,-9.0478,-2.40578,-0.85538,"El Nino",1994-01-01,1.069,-2.3542967,1.41,12.795,11.932,23.4862,-0.9758,-1.65954,-0.338798,"El Nino",0.53384,NA,NA,NA
1996,"AUG",5,8.30769230769231,-3.30769230769231,2,1.66666666666667,0.333333333333333,2,1.38461538461538,0.615384615384615,1996-08-01,-0.374,-0.7482501,-0.14,11.926,11.638,139.2181,39.1177,-4.54266,-1.444195,"La Nina",1996-08-01,-0.204,-0.88413566,0.77,12.167,11.948,154.0869,80.3232,-3.70148,-3.960352,"La Nina",1996-08-01,0.068,-1.0600342,1.1,10.064,13.517,182.8316,31.5546,-6.11966,-3.301697,"El Nino",1996-08-01,-0.127,-1.2747658,2.18,10.908,12.463,120.9576,15.2273,-4.47787,-2.340872,"La Nina",-0.572458333333334,-1.56077272727273,-0.24107516,-0.033057872
1996,"JAN",4,4.5,-0.5,NA,NA,NA,NA,NA,NA,1996-01-01,-0.612,-0.6389771,0.59,12.963,11.564,-17.9701,-60.1854,-0.47764,1.535967,"La Nina",1996-01-01,-0.554,0.21576191,0.16,13.727,11.998,-84.5876,-155.4328,1.97026,3.858514,"La Nina",1996-01-01,-0.478,-0.2774263,-0.28,13.486,11.995,4.6249,-107.7803,-1.92034,4.003792,"La Nina",1996-01-01,-0.477,-0.5177138,0.47,12.471,14.814,106.2776,-6.554,-3.17851,-0.962027,"La Nina",1.31484,1.20766666666667,NA,NA
1996,"JUL",5,6.92307692307692,-1.92307692307692,NA,NA,NA,NA,NA,NA,1996-07-01,-0.204,-0.88413566,0.77,12.167,11.948,154.0869,80.3232,-3.70148,-3.960352,"La Nina",1996-07-01,0.068,-1.0600342,1.1,10.064,13.517,182.8316,31.5546,-6.11966,-3.301697,"El Nino",1996-07-01,-0.127,-1.2747658,2.18,10.908,12.463,120.9576,15.2273,-4.47787,-2.340872,"La Nina",1996-07-01,-0.42,-0.43611655,1.46,11.919,11.321,15.6094,-107.5782,-1.23978,4.054381,"La Nina",0.286130434782608,-1.75659090909091,-0.017870493,-0.089813285
1996,"JUN",3,9.69230769230769,-6.69230769230769,NA,NA,NA,NA,NA,NA,1996-06-01,0.068,-1.0600342,1.1,10.064,13.517,182.8316,31.5546,-6.11966,-3.301697,"El Nino",1996-06-01,-0.127,-1.2747658,2.18,10.908,12.463,120.9576,15.2273,-4.47787,-2.340872,"La Nina",1996-06-01,-0.42,-0.43611655,1.46,11.919,11.321,15.6094,-107.5782,-1.23978,4.054381,"La Nina",1996-06-01,-0.227,-1.1487637,1.01,11.784,10.915,58.3053,-10.4363,-1.76022,-0.367297,"La Nina",-0.986880000000001,-0.174136363636364,-0.40412065,0.07672886
