"County","All Strandings (%)","Human Interactions (%)","Fisheries (%)","Gunshot (%)","Boat (%)","Other (%)"
"Clallam",5,6,12,34,5,48
"Clark",0,1,0,100,0,0
"Cowlitz",0,1,0,100,0,0
"Grays Harbor",8,10,6,47,0,47
"Island",10,5,16,44,16,24
"Jefferson",4,4,26,13,5,55
"King",9,7,30,29,0,41
"Kitsap",8,7,20,23,0,57
"Mason",2,2,21,32,0,47
"Pacific",6,14,17,65,1,17
"Pierce",13,16,9,13,3,75
"San Juan",21,9,17,25,14,44
"Skagit",2,2,18,5,9,68
"Snohomish",3,4,23,26,3,49
"Thurston",3,4,26,19,7,49
"Whatcom",5,9,8,21,12,58
