"County","All Strandings (%)","Human Interactions (%)","Fisheries (%)","Gunshot (%)","Boat (%)","Other (%)"
"Alameda",0,0,0,18,18,64
"Contra Costa",0,0,0,43,0,57
"Del Norte",1,1,12,15,19,54
"Eez",0,0,100,0,0,0
"Humboldt",2,1,6,15,3,76
"Los Angeles",18,17,64,11,2,23
"Marin",4,4,17,23,2,58
"Mendocino",1,1,13,20,0,67
"Monterey",12,10,47,10,2,40
"Orange",10,9,64,4,2,30
"San Diego",11,25,33,7,1,59
"San Francisco",2,2,36,28,0,36
"San Joaquin",0,0,25,25,25,25
"San Luis Obispo",10,7,24,19,0,57
"San Mateo",6,4,21,24,1,54
"Santa Barbara",9,4,72,6,1,21
"Santa Clara",0,0,0,100,0,0
"Santa Cruz",7,7,45,20,0,35
"Solano",0,0,100,0,0,0
"Sonoma",2,1,17,27,0,57
"Sutter",0,0,0,100,0,0
"Ventura",6,4,51,6,0,43
"Yolo",0,0,50,50,0,0
