,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1989,-1.128,-1.271,-1.037,-0.795,-0.435,-0.253,-0.459,-0.497,-0.311,-0.314,-0.045,0.127
1990,0.232,0.555,0.945,0.442,0.637,0.484,0.12,0.131,0.378,0.28,0.39,0.357
1991,0.32,0.313,0.405,0.463,0.759,1.1,1.023,1.024,0.76,1.024,1.2,1.325
1992,1.749,1.864,1.993,2.275,2.129,1.748,1.018,0.57,0.497,0.664,0.589,0.64
1993,0.686,0.979,0.99,1.409,1.998,1.591,1.17,1.042,0.992,1.063,0.839,0.595
1994,0.349,0.197,0.174,0.465,0.573,0.788,0.88,0.773,0.908,1.419,1.29,1.229
1995,1.216,0.961,0.879,0.466,0.563,0.508,0.207,-0.143,-0.426,-0.471,-0.453,-0.546
1996,-0.63,-0.581,-0.227,-0.42,-0.127,0.068,-0.204,-0.374,-0.437,-0.349,-0.13,-0.325
1997,-0.489,-0.595,-0.222,0.535,1.165,2.292,2.805,3.04,3.044,2.417,2.575,2.368
1998,2.503,2.792,2.768,2.685,2.212,1.292,0.347,-0.331,-0.6,-0.795,-1.099,-0.941
1999,-1.094,-1.176,-1.019,-0.982,-0.66,-0.361,-0.507,-0.745,-0.953,-0.977,-1.042,-1.192
2000,-1.164,-1.207,-1.112,-0.479,0.169,-0.053,-0.184,-0.145,-0.227,-0.372,-0.712,-0.551
2001,-0.502,-0.669,-0.571,-0.091,0.233,0.006,0.27,0.338,-0.165,-0.266,-0.159,0.028
2002,-0.032,-0.176,-0.137,0.401,0.851,0.913,0.685,1.017,0.908,0.976,1.076,1.141
2003,1.199,0.937,0.831,0.365,0.111,0.097,0.144,0.316,0.477,0.519,0.536,0.349
2004,0.322,0.356,-0.056,0.285,0.539,0.267,0.541,0.627,0.572,0.497,0.815,0.665
2005,0.31,0.81,1.055,0.642,0.836,0.585,0.49,0.352,0.315,-0.149,-0.376,-0.576
2006,-0.435,-0.411,-0.533,-0.621,0.008,0.53,0.691,0.759,0.823,0.934,1.322,0.998
2007,1.012,0.542,0.112,0.015,0.247,-0.215,-0.288,-0.441,-1.181,-1.103,-1.119,-1.129
2008,-0.968,-1.355,-1.583,-0.874,-0.368,0.133,0.054,-0.266,-0.551,-0.72,-0.502,-0.608
2009,-0.711,-0.677,-0.678,-0.109,0.361,0.819,1.035,1.067,0.735,1.038,1.088,1.041
2010,1.152,1.521,1.427,0.95,0.643,-0.325,-1.156,-1.683,-1.868,-1.896,-1.523,-1.529
2011,-1.645,-1.53,-1.511,-1.392,-0.288,-0.075,-0.228,-0.519,-0.769,-0.939,-0.886,-0.912
2012,-0.995,-0.665,-0.377,0.127,0.747,0.835,1.098,0.619,0.339,0.139,0.21,0.081
2013,0.069,-0.119,-0.128,0.069,0.146,-0.168,-0.355,-0.48,-0.133,0.135,-0.027,-0.255
2014,-0.287,-0.241,0.032,0.248,0.976,0.98,0.882,0.954,0.585,0.411,0.772,0.611
2015,0.419,0.468,0.67,0.97,1.584,2.045,1.948,2.366,2.53,2.225,2.308,2.123
