National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,Country,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Number,Group Event Flag,Mass Stranding Number,Group Type: Cow Calf Pair,Group Type: Mass Stranding,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,Gear Collection Flag,Gear Disposition Flag,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury Flag,Other Findings - Pregnant Flag,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Status,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Transferred to Rehabilitation,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Entangled Flag,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate
NW-2016-1193081,16Pp17MarSK-01,16NWR03053,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,United States,,Skagit,WA,Pacific Ocean,"Samish Bay, north end tract II on westside grounds.",48.34525,decimal degrees,actual,122.29177,decimal degrees,actual,GPS,N,,N,,N,N,N,N,N,N,,N,,,N,,CBD,N,N,N,2016-MAR-17,2016,MAR,17,Beach or Land,Fresh Dead,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,SUBADULT,121,cm,estimate,60,kg,estimate
NW-2016-1193703,16Pv02SepWH-25,16NWR09106,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Paul Evans,,Whatcom Marine Mammal Stranding Network,NW,United States,Bellingham,Whatcom,WA,Pacific Ocean,Little Squalicum Beach by trail,48.719552,decimal degrees,actual,122.5157261,decimal degrees,actual,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-SEP-02,2016,SEP,2,,Fresh Dead,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,,36,in,actual,25,lb,estimate
NW-2016-1191133,GI16-10,16NWR07078,Confirmed- Medium Report,"Seal, harbor",Phoca,vitulina,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,,Gertrude Island,Pierce,WA,Puget Sound,West side tip,47.215,dd.dddd,actual,122.6614,dd.dddd,actual,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-JUL-25,2016,JUL,25,Beach or Land,Fresh Dead,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,PUP/CALF,85,cm,estimate,10,kg,estimate
NW-2016-1191100,WDFW2016-015,16NWR03045,Confirmed- High Report,"Seal, harbor",Phoca,vitulina,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,,Bangor,Kitsap,WA,Hood Canal,M241 Moon Pool,47.308,dd.dddd,estimate,122.741,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,N,,2016-MAR-18,2016,MAR,18,Beach or Land,Fresh Dead,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,PUP/CALF,93,cm,actual,14,kg,actual
NW-2016-1193106,16Pv25JunWI-04,16NWR06091,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,United States,Whidbey Island,Island,WA,Pacific Ocean,"Penn Cove, near junction of Hwy 20 and Zylstra Rd. at end of Penn Cove",48.142,decimal degrees,estimate,122.423,decimal degrees,estimate,Map,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-JUN-25,2016,JUN,25,Beach or Land,Fresh Dead,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,66,in,estimate,125,lb,estimate
NW-2016-1193771,16Pv04DecWH-38,16NWR12045,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Calum Stronach,,Whatcom Marine Mammal Stranding Network,NW,United States,Bellingham,Whatcom,WA,Pacific Ocean,Little Squalicum Beach underneath the pier,48.764678,decimal degrees,actual,122.517897,decimal degrees,actual,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-DEC-04,2016,DEC,4,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,65,in,actual,60,lb,estimate
NW-2016-1193364,MKH2016-019,16NWR09074,Confirmed- Medium Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,East Bodelteh Island,48.1761,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-SEP-07,2016,SEP,7,Beach or Land,Mummified/Skeletal,Mummified/Skeletal,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,
NW-2016-1193363,MKH2016-018,16NWR09073,Confirmed- Medium Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Strait of Juan de Fuca,Near Warmhouse Beach in kelp,48.3931,dd.dddd,actual,125,dd.dddd,actual,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-SEP-06,2016,SEP,6,Floating,Moderate Decomposition,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,ADULT,,,,,,
NW-2016-1193362,MKH2016-017,16NWR09072,Confirmed- Medium Report,"Seal, harbor",Phoca,vitulina,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Strait of Juan de Fuca,Near Warmhouse Beach floating in kelp,48.3931,dd.dddd,actual,125,dd.dddd,actual,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-SEP-06,2016,SEP,6,Floating,Fresh Dead,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,
NW-2016-1193372,MKH2016-028,16NWR11037,Confirmed- Medium Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Hobuck Beach,48.3331,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-NOV-19,2016,NOV,19,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,PUP/CALF,135,cm,estimate,,,
