"Year.of.Observation","Pinniped.Common.Name","HI.Prev","Boat","Gunshot","Fisheries","Other"
1991,"California sea lion",0.245614035087719,0,0.140350877192982,0.0526315789473684,0.0526315789473684
1991,"Harbor seal",0.126582278481013,0,0.0886075949367089,0.0189873417721519,0.0189873417721519
1991,"Northern elephant seal",0,0,0,0,0
1991,"Northern fur seal",0.2,0,0,0.2,0
1991,"Steller sea lion",0.0909090909090909,0,0.0909090909090909,0,0
1991,"Unidentified",0,0,0,0,0
1992,"California sea lion",0.0655737704918033,0,0.0491803278688525,0.0163934426229508,0
1992,"Guadalupe fur seal",0.5,0,0,0.5,0
1992,"Harbor seal",0.0664335664335664,0,0.034965034965035,0.013986013986014,0.013986013986014
1992,"Northern elephant seal",0,0,0,0,0
1992,"Northern fur seal",0,0,0,0,0
1992,"Steller sea lion",0,0,0,0,0
1992,"Unidentified",0.018348623853211,0,0,0.00917431192660551,0.00917431192660551
1993,"California sea lion",0.289855072463768,0,0.27536231884058,0,0.0144927536231884
1993,"Harbor seal",0.0955223880597015,0,0.0537313432835821,0.0119402985074627,0.0298507462686567
1993,"Northern elephant seal",0.444444444444444,0,0,0.444444444444444,0
1993,"Northern fur seal",0,0,0,0,0
1993,"Steller sea lion",0.647058823529412,0,0.647058823529412,0,0
1993,"Unidentified",0.0285714285714286,0,0.0285714285714286,0,0
1994,"California sea lion",0.142857142857143,0,0.0952380952380952,0,0.0476190476190476
1994,"Harbor seal",0.0447761194029851,0.00298507462686567,0.0149253731343284,0.0119402985074627,0.0149253731343284
1994,"Northern elephant seal",0,0,0,0,0
1994,"Northern fur seal",0,0,0,0,0
1994,"Steller sea lion",0.142857142857143,0,0.142857142857143,0,0
1994,"Unidentified",0.025,0,0.0166666666666667,0,0.00833333333333333
1995,"California sea lion",0.19047619047619,0,0.0952380952380952,0,0.0952380952380952
1995,"Harbor seal",0.0566037735849057,0,0.0188679245283019,0.00943396226415094,0.0283018867924528
1995,"Northern elephant seal",0.166666666666667,0,0,0,0.166666666666667
1995,"Steller sea lion",0,0,0,0,0
1995,"Unidentified",0.0862068965517241,0,0.0172413793103448,0.0517241379310345,0.0172413793103448
1996,"California sea lion",0.209302325581395,0,0.13953488372093,0.0465116279069767,0.0232558139534884
1996,"Harbor seal",0.0855263157894737,0,0.0263157894736842,0.0263157894736842,0.0328947368421053
1996,"Northern elephant seal",0.25,0,0.125,0,0.125
1996,"Steller sea lion",0.0833333333333333,0,0,0.0833333333333333,0
1996,"Unidentified",0.0333333333333333,0,0,0.0333333333333333,0
1997,"California sea lion",0.236842105263158,0,0.105263157894737,0.105263157894737,0.0263157894736842
1997,"Harbor seal",0.167420814479638,0,0.0452488687782805,0.0633484162895928,0.0588235294117647
1997,"Northern elephant seal",0,0,0,0,0
1997,"Northern fur seal",0.5,0,0.5,0,0
1997,"Steller sea lion",0.153846153846154,0,0.153846153846154,0,0
1997,"Unidentified",0.0254237288135593,0.00847457627118644,0,0.00847457627118644,0.00847457627118644
1998,"California sea lion",0.144736842105263,0,0.0657894736842105,0.0789473684210526,0
1998,"Harbor seal",0.0699300699300699,0,0.027972027972028,0.020979020979021,0.013986013986014
1998,"Northern elephant seal",0,0,0,0,0
1998,"Northern fur seal",0,0,0,0,0
1998,"Steller sea lion",0,0,0,0,0
1998,"Unidentified",0.03,0,0,0.01,0.02
1999,"California sea lion",0.0857142857142857,0,0,0,0.0857142857142857
1999,"Harbor seal",0.0412371134020619,0.0103092783505155,0.0103092783505155,0.0154639175257732,0.00515463917525773
1999,"Northern elephant seal",0,0,0,0,0
1999,"Northern fur seal",0,0,0,0,0
1999,"Steller sea lion",0,0,0,0,0
1999,"Unidentified",0.0416666666666667,0,0.0208333333333333,0,0.0208333333333333
2000,"California sea lion",0.0862068965517241,0,0.0344827586206897,0.0344827586206897,0.0172413793103448
2000,"Harbor seal",0.0754716981132075,0,0.0314465408805031,0.0125786163522013,0.0314465408805031
2000,"Northern elephant seal",0,0,0,0,0
2000,"Northern fur seal",0,0,0,0,0
2000,"Steller sea lion",0,0,0,0,0
2000,"Unidentified",0.0606060606060606,0,0.0303030303030303,0.0303030303030303,0
2001,"California sea lion",0.037037037037037,0,0.037037037037037,0,0
2001,"Harbor seal",0.0765027322404372,0.0109289617486339,0.0218579234972678,0.0163934426229508,0.0163934426229508
2001,"Northern elephant seal",0,0,0,0,0
2001,"Northern fur seal",1,0,0,1,0
2001,"Steller sea lion",0,0,0,0,0
2001,"Unidentified",0.0277777777777778,0,0.0277777777777778,0,0
2002,"California sea lion",0.0909090909090909,0,0.0909090909090909,0,0
2002,"Harbor seal",0.0529801324503311,0,0.033112582781457,0,0.00662251655629139
2002,"Northern elephant seal",0,0,0,0,0
2002,"Steller sea lion",0.2,0,0,0,0.2
2002,"Unidentified",0.0666666666666667,0,0.0666666666666667,0,0
2003,"California sea lion",0.0784313725490196,0,0.0196078431372549,0.0588235294117647,0
2003,"Harbor seal",0.040983606557377,0.0122950819672131,0.00819672131147541,0.0122950819672131,0.0204918032786885
2003,"Northern elephant seal",0,0,0.142857142857143,0,0
2003,"Northern fur seal",0.666666666666667,0,0,0.666666666666667,0
2003,"Steller sea lion",0,0,0,0,0
2003,"Unidentified",0.0444444444444444,0.0222222222222222,0.0222222222222222,0,0
2004,"California sea lion",0.0923076923076923,0.00769230769230769,0.0461538461538462,0.0230769230769231,0.0153846153846154
2004,"Harbor seal",0.0538922155688623,0.0029940119760479,0.00898203592814371,0.0119760479041916,0.0389221556886228
2004,"Northern elephant seal",0,0,0,0,0
2004,"Steller sea lion",0.0416666666666667,0,0.0416666666666667,0,0
