"National.Database.Number","Field.Number","Common.Name","Genus","Species","Affiliation","Country","City","County","State","Locality.Detail","Latitude","Longitude","Restrand","Findings.of.Human.Interaction","Boat.Collision","Shot","Fishery.Interaction","Other.Human.Interaction","Other.Human.Int.Description","Gear.Collection.Flag","Gear.Disposition.Flag","Other.Findings.upon.Level.Y.N","Other.Findings...Illness.Flag","Other.Findings...Injury.Flag","Other.Findings...Pregnant.Flag","Year.of.Observation","Month.of.Observation","Day.of.Observation","How.Observed","Observation.Status","Disentangled.Flag","Sick.Flag","Injured.Flag","Out.of.Habitat.Flag","Abandoned.Orphaned.Flag","Location.Hazardous.to.Animal","Location.Hazardous.Public","Entangled.Flag","Sex","Age.Class","Length","Length.Units","Weight","Weight.Units","Necropsied.Flag","City...from.strandings.table","Mammal.Type","Interaction.Type","Pinniped.Common.Name"
"NW-2011-1142270","WDFW2011-202","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Aberdeen","Grays Harbor","WA","Behind Top Foods",46.9761,-123.8015,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"DEC",1,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",42,"in",80,"lb","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142183","WDFW2011-196","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Aberdeen","Grays Harbor","WA","Behind Walmart and Wishkah Mall",46.9749,-123.8051,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"DEC",9,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",36,"in",NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142274","WDFW2011-197","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Aberdeen","Grays Harbor","WA","Behind Wishkah Mall and Walmart",46.9749,-123.8051,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"DEC",9,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",NA,NA,NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132575","WDFW2010-197","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Aberdeen","Grays Harbor","WA","Morris Park",46.976,-123.811,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"NOV",17,"Floating","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",120,"cm",NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1179528","WDFW2015-044","Sea lion, Steller","Eumetopias","jubatus","WDFW/MMI",NA,"Aberdeen","Grays Harbor","WA","Chehalis River Red Bouy",46.96,-123.92,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2015,"JUN",24,"Floating","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Subadult",240,"cm",250,"kg","N",NA,"Pinniped","NA","Steller sea lion"
"NW-2012-1152430","WDFW2012-056","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Aberdeen","Grays Harbor","WA","Whalebone way",46.8638,-124.0638,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2012,"MAY",20,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Male","Unid",NA,NA,NA,NA,"N",NA,"Pinniped","NA","California sea lion"
"NW-2007-1072841","WDFW0807-01","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations","United States","Anderson Island","Pierce","WA","Anderson Is Rivera Marina",47.1516,-122.6715,"N","Y","N","N","N","Y",NA,"N",NA,NA,"N","N",NA,2007,"AUG",2,"Beach or Land","ALIVE","N","N","N","N","Y","N","N",NA,"Male","Pup",79,"cm",NA,NA,"N",NA,"Pinniped","Other","Harbor seal"
"NW-2013-1154564","WDFW2013-086","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","South of the Marina Dr.",47.1503,-122.6742,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2013,"SEP",3,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",80,"cm",8,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1142254","WDFW2012-016","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","0.25 miles East of Anderson Island Ferry",47.1737,-122.6742,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2012,"FEB",1,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2013-1152647","WDFW2013-016","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","By ferry terminal",47.177,-122.677,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2013,"MAR",4,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",100,"cm",10,"kg","N",NA,"Pinniped","NA","Harbor seal"
